矣	qvq
纚	sreq
灑	sreh
差	tshraj
斯	se
虒	lhe
𩆵	sal
徙	sajq
璽	sneq
賜	lheh
胔	zeh
柴	zeh
訾	ceq
訿	ceq
雌	che
此	cheq
泚	cheq
刺	cheh
朿	cheh
籮	raaj
羅	raaj
蘿	raaj
娑	saaj
獻	sngaal
瘥	dzaaj
鹺	dzaaj
左	tsaajq
佐	tsaajh
左	tsaajh
傞	tshaaj
差	tshaaj
磋	tshaaj
瑳	tshaajq
沙	sraaj
鯊	sraaj
槎	zraaj
槎	zraajq
乍	zraah
柤	tsraa
詐	tsraah
柞	tsraak
差	tshraaj
邪	sla
謝	slah
夕	glak
席	sdak
蓆	sdak
寫	saq
瀉	saq
卸	sngah
惜	sak
昔	sak
潟	sak
舄	sak
藉	dzah
籍	dzak
藉	dzak
嗟	tsaj
罝	ca
借	tsah
借	tsak
積	cek
脊	tsek
跡	cek
蹐	tsek
蹟	cek
迹	cek
𨒪	cek
且	chaq
刺	chek
踖	tshak
而	nv
耳	nvq
餌	nvh
蝕	mlvk
食	mlvk
詩	stv
始	lhvq
弒	lhvh
試	lhvh
式	lhvk
拭	lhvk
識	stvk
飾	lhvk
塒	dv
時	dv
市	dvq
恃	dvq
侍	dvh
埴	dvk
植	dvk
殖	dvk
之	tv
止	tvq
沚	tvq
茝	khlvq
趾	tvq
志	tvh
誌	tvh
識	tvh
戠	tvk
樴	tvk
織	tvk
職	tvk
蚩	thv
齒	thvq
熾	thvh
饎	khlvh
兒	nge
尔	neq
爾	neq
邇	neq
舐	ɡeq
舓	ɡeq
施	lhaj
弛	lhajq
豕	lhajq
翅	heh
是	deq
氏	ɡeq
支	ke
枝	ke
肢	ke
胑	ke
觶	tal
咫	keq
紙	keq
寘	keh
示	keh
侈	thajq
哆	thajq
蛇	mlaj
射	mlah
射	mlak
奢	sta
賒	lha
賖	lha
捨	lhaq
舍	lhaq
舍	lhah
赦	lhah
奭	lhak
檡	lhak
螫	lhak
襫	lhak
適	stek
釋	lhak
𥼶	lhak
社	daq
石	dak
碩	dak
遮	ta
者	taq
赭	taq
柘	tah
炙	tah
蔗	tah
摭	tak
炙	tak
適	tek
隻	tek
車	khla
哆	thajq
㡿	khlak
厈	khlak
尺	thak
斥	khlak
赤	khlak
匿	nrvk
持	drv
治	lrv
值	drvh
植	drvh
治	lrvh
直	drvk
置	trvh
稙	trvk
陟	trvk
恥	nhrvq
祉	thrvq
勅	hrvk
敕	hrvk
飭	hrvk
特	dvvk
犆	dvvk
螣	lvvk
得	tvvk
德	tvvk
忒	lhvvk
慝	nhvvk
眲	nrvvk
廌	lreeq
豸	lreeq
謫	dreek
適	dreek
摘	treek
謫	treek
讁	treek
溺	neewk
敵	deek
滌	liiwk
狄	leek
篴	liiwk
糴	leewk
翟	leewk
迪	liiwk
嫡	teek
弔	teewk
的	teewk
蹢	teek
剔	lheek
惕	lheek
池	lraj
篪	lre
踟	dre
馳	lraj
豸	lreq
知	tre
蜘	tre
智	treh
离	hraj
螭	hraj
魑	hraj
儺	naal
那	naal
儺	naalq
佗	laaj
沱	laaj
紽	laaj
驒	daal
鼉	daal
舵	laajq
大	laas
多	taaj
他	lhaaj
佗	lhaaj
它	lhaaj
扡	lhaaj
拖	lhaaj
拏	nraa
挐	nraa
秅	draa
荼	lraa
宅	draak
澤	lraak
乇	traak
詫	thraah
坼	hraak
拆	hraak
躑	drek
偪	prvk
幅	prvk
逼	prvk
副	phrvk
墨	mvvk
匐	bvvk
北	pvvk
買	mraajq
賣	mraajh
脈	mreek
脉	mreek
麥	mrvvk
簰	bree
罷	braajq
稗	breeh
粺	breeh
擘	preek
𠠦	prvvk
冪	meek
幦	meek
汨	miik
簚	meek
甓	beek
辟	beek
壁	peek
糜	maj
靡	maj
靡	majq
疲	baj
皮	baj
罷	baj
被	bajq
碑	pre
羆	paj
陂	paj
彼	pajq
賁	palh
披	phaj
被	phaj
被	phajh
冞	me
彌	me
瀰	me
𦊮	me
弭	meq
彌	meq
敉	meq
瀰	meq
脾	be
婢	beq
庳	beq
辟	beh
避	beh
卑	pe
髀	peq
臂	peh
諀	pheq
譬	pheh
磨	maaj
塺	maajh
磨	maajh
婆	baaj
皤	baal
蟠	baal
鄱	baal
波	paaj
番	paal
簸	paajq
跛	paajq
播	paalh
簸	paajh
頗	phaaj
破	phaajh
麻	mraaj
馬	mraaq
罵	mraah
貉	mraak
貊	mraak
陌	mraak
爬	braa
耙	braa
帛	braak
白	braak
巴	praa
豝	praa
把	praaq
霸	praah
伯	praak
柏	praak
百	praak
迫	praak
拍	phraak
霸	phraak
魄	phraak
碧	prak
擗	bek
辟	bek
璧	pek
辟	pek
僻	phek
辟	phek
域	wrvk
或	wrvk
緎	wrvk
蜮	wrvk
侐	hwrik
洫	hwrik
淢	hwrik
緎	hwrvk
惑	wvvk
或	wvvk
國	kwvvk
蛙	qwree
鼃	qwree
鼃	wree
畫	wreeh
繣	wreeh
劃	wreek
獲	wraak
畫	wreek
蒦	wraak
繣	hwreek
卦	kwreeh
挂	kwreeh
絓	kwreeh
馘	kwrvvk
狊	kweek
鵙	kweek
鶪	kweek
闃	khweek
為	waj
爲	waj
為	wajh
爲	wajh
委	qwaj
萎	qwaj
委	qwajq
骫	qwalq
危	ngoj
偽	ngwajh
僞	ngwajh
毀	mhajq
烜	hwalq
燬	mhajq
跪	ɡojq
媯	kwaj
嬀	kwaj
詭	kojq
虧	khwaj
墮	lhoj
觿	hwe
隳	lhoj
隋	lhojh
規	kwe
窺	khwe
吪	ngwaaj
訛	ngwaaj
譌	ngwaaj
臥	ngoojh
和	waaj
禾	waaj
夥	ɡoojq
禍	ɡwaajq
和	waajh
火	mhvvjq
貨	hwaajh
戈	kwaaj
過	kwaaj
果	koojq
蜾	koojq
裹	koojq
過	kwaajh
薖	khwaaj
汙	qwraa
污	qwraa
鼃	qwree
擭	qwraak
瓦	ngroojq
划	wraaj
華	wraa
鼃	wree
踝	ɡroojq
輠	ɡroojq
擭	wraah
華	wraah
花	hwraa
華	hwraa
譁	hwraa
化	hwraajh
瓜	kwraa
蝸	kwraaj
騧	kwraaj
冎	kwraajq
咼	kwraajq
寡	kwraaq
虢	kwraak
夸	khwraa
誇	khwraa
役	wek
疫	wek
累	roj
羸	roj
累	rojq
衰	tshroj
揣	tshrolq
隋	sloj
隨	sloj
髓	lhojq
瀡	lhojh
隋	lhojh
觜	cojq
腡	rooj
螺	rooj
倮	roojq
卵	roolq
臝	roojq
蠃	roojq
裸	roojq
蓑	sooj
瑣	soojq
鎖	soojq
鏁	soojq
坐	zoojq
坐	zoojh
座	zoojh
脞	choojq
剉	choojh
髽	crooj
垂	doj
瑞	dolh
睡	dojh
捶	tojq
吹	thoj
吹	thojh
諉	nrojh
錘	droj
墮	loojq
惰	loojq
隋	loojq
隓	loojq
妥	nhoojq
橢	lhoojq
隋	lhoojq
應	qvng
膺	qvng
鷹	qvng
凝	ngvng
興	hvng
兢	kvng
矜	kring
蠅	lvng
孕	lingh
恆	ɡvvng
恒	ɡvvng
亙	kvvngh
肯	khvvngq
嚶	qreeng
罃	qreeng
罌	qreeng
牼	ɡreeng
莖	ɡreeng
幸	ɡreengq
耕	kreeng
耿	kreengq
牼	khreeng
刑	ɡeeng
形	ɡeeng
硎	ɡeeng
邢	ɡeeng
陘	ɡeeng
脛	ɡeengh
馨	heeng
巠	keeng
涇	keeng
經	keeng
剄	keengq
徑	keengh
謦	kheengq
殸	kheengh
磬	kheengh
罄	kheengh
𥥻	kheengh
桁	ɡraang
珩	ɡraang
行	ɡraang
衡	ɡraang
杏	ɡraangq
荇	ɡraangq
行	ɡraangh
亨	hraang
享	hraang
庚	kraang
更	kraang
羹	kraang
梗	kraangq
更	kraangh
英	qrang
影	qrangq
迎	ngrang
迎	ngrangh
鯨	ɡrang
競	ɡrangh
京	krang
荊	kreng
驚	kreng
境	krangq
景	krangq
警	krengq
敬	krengh
竟	krangh
鏡	krangh
卿	khrang
慶	khrangh
楹	leng
盈	leng
贏	leng
郢	lengq
嬰	qeng
纓	qeng
頸	ɡeng
頸	kengq
勁	kengh
輕	kheng
凌	rvng
夌	rvng
陵	rvng
繒	dzvng
甑	tsvngh
層	dzvvng
曾	dzvvng
贈	dzvvngh
增	tsvvng
憎	tsvvng
曾	tsvvng
峥	zreeng
崢	zreeng
争	creeng
爭	creeng
令	riing
苓	riing
零	riing
靈	reeng
星	seeng
醒	seeng
醒	seengq
青	tseeng
生	sreng
甥	sreng
笙	sreng
令	ring
領	ringq
令	ringh
省	sengq
姓	sengh
性	sengh
情	dzeng
晴	dzeng
請	dzeng
浄	zengh
淨	zengh
旌	tseng
晶	tseng
精	tseng
菁	tseng
丼	cengq
井	cengq
清	tsheng
請	tshengq
凊	tshengh
仍	nvng
陾	nvng
乘	mlvng
塍	slvng
繩	mlvng
乘	mlvngh
剩	mlvngh
勝	lhvng
升	stvng
陞	stvng
勝	lhvngh
丞	dvng
承	dvng
烝	tvng
脀	tvng
蒸	tvng
抍	tvngq
拯	tvngq
撜	tvngq
證	tvngh
稱	thvng
稱	thvngh
聲	heng
聖	lhengh
城	deng
成	deng
盛	deng
誠	deng
盛	dengh
征	teng
正	teng
整	tengq
政	tengh
正	tengh
証	tengh
懲	drvng
澄	drvng
徵	trvng
能	nvvng
滕	lvvng
縢	lvvng
騰	lvvng
燈	tvvng
登	tvvng
豋	tvvng
鐙	tvvng
等	tvvngq
橙	drvvng
丁	treeng
寧	neeng
甯	neeng
佞	niingh
甯	neengh
亭	deeng
停	deeng
庭	leeng
廷	leeng
霆	leeng
定	deengh
丁	teeng
釘	teeng
頂	teengq
鼎	teengq
定	teengh
釘	teengh
汀	theeng
聽	lheeng
挺	lheengq
町	theengq
𡈼	lheengq
聽	lheengh
棖	draang
𣥺	draang
瞠	thraang
呈	lreng
程	lreng
鄭	drengh
楨	treng
貞	treng
䞓	threng
赬	threng
逞	lhrengq
騁	hrengq
憑	brvng
馮	brvng
冫	prvng
冰	prvng
掤	prvng
朋	bvvng
崩	pvvng
堋	pvvngh
氓	mrvvng
黽	mrvvngq
繃	prvvng
迸	preengh
冥	meeng
鄍	meeng
銘	meeng
屏	beeng
瓶	beeng
缾	beeng
苹	beeng
並	beengq
甹	pheeng
䖟	mraang
盲	mraang
虻	mraang
蝱	mraang
孟	mraangh
彭	braang
祊	praang
榜	praangh
亨	phraang
烹	phraang
明	mrang
盟	mrang
鳴	mreng
皿	mrangq
命	mringh
平	breng
病	brangh
兵	prang
丙	prangq
怲	prangq
秉	prangq
邴	prangq
枋	prangh
柄	prangh
棅	prangh
名	meng
并	peng
餅	pengq
并	pengh
聘	pengh
娉	phengh
弘	wvvng
薨	mhvvng
肱	kwvvng
𠃋	kwvvng
宏	wrvvng
嶸	wreeng
瑩	qweengh
熒	weeng
螢	weeng
坰	kweeng
扃	kweeng
熲	kweengq
褧	khweengq
喤	wraang
橫	wraang
觥	kwraang
嶸	wreng
榮	wreng
永	wrangq
咏	wrangh
泳	wrangh
詠	wrangh
兄	mhrang
囧	kwrengq
營	weng
穎	wengq
縈	qweng
睘	ɡweng
瞏	ɡweng
傾	khweng
頃	khwengq
於	qa
䱷	nga
漁	nga
鋙	nga
魚	nga
圄	ngaq
圉	ngaq
御	ngaq
禦	ngaq
語	ngaq
鋙	ngaq
御	ngah
語	ngah
馭	ngah
虛	ha
所	haq
許	haq
渠	ɡa
秬	ɡaq
粔	ɡaq
虡	gaq
遽	gah
醵	gah
居	ka
据	ka
琚	ka
車	kla
筥	kraq
舉	klaq
莒	kraq
居	kah
據	klah
鋸	kah
墟	khla
椐	kha
祛	kha
虚	khla
虛	khla
去	khaq
去	khah
予	la
余	la
旟	ngla
譽	ngla
輿	ngla
餘	la
与	nglaq
予	laq
舁	nglaq
與	nglaq
藇	nglaq
與	nglah
譽	nglah
豫	lah
鸒	nglah
廬	ra
藘	ra
儢	raq
吕	raq
呂	raq
旅	raq
慮	rah
梳	sra
疋	sra
疎	sra
疏	sra
蔬	sra
所	sraq
鉏	zra
鋤	zra
助	zrah
菹	cra
阻	craq
初	tshra
楚	tshraq
徐	sla
邪	sla
叙	slaq
序	slaq
敘	slaq
緒	slaq
緖	slaq
鱮	slaq
胥	sa
湑	saq
絮	snah
沮	zaq
且	ca
沮	ca
岨	cha
砠	cha
苴	cha
雎	cha
鴡	cha
如	na
洳	na
汝	naq
茹	naq
洳	nah
茹	nah
抒	slaq
紓	slaq
書	sta
紓	lha
舒	lha
暑	staq
癙	lhaq
黍	lhaq
鼠	lhaq
庶	staks
恕	nhah
署	dah
諸	ta
䰞	taq
渚	taq
煑	taq
煮	taq
陼	taq
杵	khlaq
處	khlaq
處	khlah
女	nraq
籹	nraq
女	nrah
除	lra
竚	draq
紵	draq
羜	draq
箸	drah
除	lrah
豬	tra
褚	traq
著	trah
攄	hra
樗	hra
模	maa
謨	maa
募	maah
墓	maah
慕	maah
莫	maah
匍	baa
蒲	baa
簿	baaq
哺	baah
步	baah
補	paaq
圃	paah
布	paah
痡	phaa
鋪	phaa
浦	phaaq
巫	mo
无	ma
毋	ma
無	ma
蕪	ma
誣	mo
譕	ma
侮	moq
儛	maq
武	maq
舞	maq
務	moh
霧	moh
夫	ba
扶	ba
符	bo
父	baq
腐	boq
輔	baq
釜	baq
傅	bah
附	boh
幞	bok
夫	pa
膚	pra
府	poq
斧	paq
父	paq
甫	paq
簠	paq
脯	paq
鈇	paq
黼	paq
付	poh
傅	pah
搏	pah
賦	pah
敷	pha
痡	pha
鋪	pha
撫	phaq
仆	phoh
赴	phoh
圩	qwaa
於	qaa
洿	qwaa
烏	qaa
惡	qaah
吳	ngwaa
吾	ngaa
五	ngaaq
伍	ngaaq
午	ngaaq
啎	ngaah
寤	ngaah
悟	ngaah
晤	ngaah
誤	ngwaah
遻	ngaah
乎	a
壺	waa
弧	waa
湖	ɡaa
狐	waa
糊	ɡaa
胡	ɡaa
葫	ɡaa
岵	ɡaaq
戶	gwaaq
扈	gwaaq
祜	ɡaaq
鳸	gaaq
互	ɡaah
冱	ɡaah
枑	ɡaah
沍	ɡaah
瓠	waah
護	waah
呼	haa
幠	mhaa
虍	haa
滸	haaq
虎	haaq
許	nghaaq
呼	haah
呱	kwaa
姑	kaa
孤	kwaa
罛	kwaa
菇	kaa
辜	kaa
酤	kaa
古	kaaq
牯	kaaq
盬	kaaq
瞽	kaaq
罟	kaaq
羖	kaaq
股	kaaq
蠱	kaaq
賈	kaaq
鼓	kaaq
鼔	kaaq
固	kaah
故	kaah
痼	kaah
錮	kaah
雇	klaah
顧	klaah
枯	khaa
苦	khaaq
庫	khlaah
袴	khwaah
于	wa
盂	wa
竽	wa
迂	wa
雩	wa
宇	waq
禹	waq
羽	waq
雨	waq
芋	wah
雨	wah
紆	qwa
迂	qwa
傴	qoq
饇	qoh
娛	ngwa
愚	ngo
虞	ngwa
隅	ngo
噳	ngwaq
麌	ngwaq
寓	ngoh
遇	ngoh
獄	ngok
玉	ngok
吁	hwa
盱	hwa
荂	hwa
訏	hwa
冔	hwaq
栩	hwaq
頊	nghok
劬	ɡo
瞿	ɡwa
絇	ɡo
具	ɡoh
懼	ɡwah
局	ɡok
俱	ko
駒	ko
枸	koq
矩	kwaq
踽	kwaq
䀠	kwah
句	koh
屨	kroh
瞿	kwah
鞻	kroh
驅	khlo
曲	khrok
俞	lo
愉	lo
揄	lo
榆	lo
渝	lo
臾	nglo
諛	nglo
踰	lo
逾	lo
庾	ngloq
愈	loq
楰	ngloq
瘉	loq
喻	loh
欲	nglok
爐	raa
蘆	raa
鑪	raa
𧆨	raa
櫓	raaq
虜	raaq
魯	raaq
鹵	raaq
賂	raah
路	raah
露	raah
穌	sngaa
蘇	sngaa
㴑	sngaah
愬	sngaah
泝	sngaah
素	saah
訴	sngaah
遡	sngaah
𧪜	sngaah
徂	zaa
胙	zaah
租	caa
祖	caaq
組	caaq
作	caah
粗	chaa
措	tshaah
婁	ro
蔞	ro
縷	roq
屢	roh
綠	rok
緑	rok
菉	rok
錄	rok
録	rok
數	sroq
數	sroh
芻	chro
趨	chro
蝓	lo
俗	glok
續	slok
藚	slok
需	nho
須	so
鬚	so
粟	sok
聚	zoq
聚	zoh
娵	co
掫	co
諏	co
足	cok
取	choq
取	choh
娶	choh
趣	choh
趣	chok
濡	no
襦	no
乳	noq
醹	noq
孺	noh
縟	nok
蓐	nok
辱	nok
贖	mlok
輸	lho
戍	lhoh
束	lhok
殊	do
殳	do
樹	doq
豎	doq
尌	doh
樹	doh
屬	dok
蜀	dok
侏	to
朱	to
主	toq
斗	toq
鑄	toh
馵	toh
屬	tok
燭	tok
蠋	tok
姝	tho
樞	khlo
觸	thok
奴	naa
孥	naa
弩	naaq
怒	naaq
怒	naah
圖	daa
塗	laa
屠	daa
徒	daa
涂	laa
瘏	daa
途	laa
杜	daaq
肚	daaq
度	daah
渡	daah
都	taa
闍	taa
堵	taaq
睹	taaq
肚	taaq
賭	taaq
妒	taah
妬	taah
蠹	taah
稌	lhaa
吐	thaaq
土	thaaq
稌	lhaaq
兔	lhaah
吐	thaah
廚	dro
躕	dro
柱	droq
住	droh
躅	drok
株	tro
蛛	tro
誅	tro
邾	tro
拄	troq
壴	troh
注	troh
瘃	trok
豖	throk
區	qoo
樞	qoo
嘔	qooq
屋	qook
偶	ngooq
耦	ngooq
藕	ngooq
侯	ɡoo
喉	ɡoo
猴	ɡoo
鍭	ɡoo
餱	ɡoo
厚	ɡooq
后	ɡooq
後	ɡooq
候	ɡooh
後	ɡooh
逅	ɡrooh
鍭	ɡooh
訽	hooh
句	koo
溝	koo
篝	koo
鉤	koo
垢	kooq
狗	kooq
笱	kooq
耇	kooq
苟	kooq
冓	kooh
句	kooh
媾	kooh
彀	kooh
覯	kooh
購	kooh
穀	kook
谷	klook
轂	kook
口	khooq
叩	khooq
叩	khooh
寇	khooh
哭	khook
尤	wv
訧	wv
郵	wv
友	wvq
右	wvq
有	wvq
祐	wvq
佑	wvh
侑	wvh
又	wvh
右	wvh
囿	wvh
祐	wvh
囿	wvk
優	qu
憂	qu
懮	quq
奧	quk
彧	qwvk
燠	quk
薁	quk
郁	qwvk
牛	ngwv
休	hu
鵂	hu
朽	huq
嗅	huh
畜	huh
臭	khluh
慉	hruk
畜	hruk
稸	hruk
蓄	hruk
仇	ɡu
俅	ɡwv
求	ɡu
球	ɡu
絿	ɡu
裘	ɡwv
觩	ɡu
逑	ɡu
銶	ɡu
咎	ɡuq
臼	ɡuq
舅	ɡuq
柩	ɡwvh
舊	ɡuh
鳩	ku
龜	kwv
久	kwvq
九	kuq
灸	kwvq
玖	kwvq
韭	kuq
㝌	kwvh
廄	kuh
救	kuh
疚	kwvh
究	kuh
匊	kuk
鞠	kuk
鞫	kuk
丘	khwv
蚯	khwv
悠	liw
攸	liw
斿	lu
油	liw
浟	liw
游	lu
滺	liw
猶	nglu
由	liw
舀	lu
遊	lu
槱	ngluq
牖	luq
莠	luq
誘	luq
酉	ngluq
儥	luk
昱	luk
毓	luk
煜	luk
育	luk
鬻	luk
𧶠	luk
幽	qiw
幼	qiwh
丩	kiw
摎	kiw
樛	kiw
糾	kiwq
沃	qaawk
寉	ɡaawk
隺	ɡaawk
鵠	ɡuuk
告	kuuk
郜	kuuk
酷	khuuk
幺	qiiw
窈	qiiwq
堯	ngeew
曉	heewq
徼	keew
僥	keewq
皎	keewq
叫	kiiwh
徼	keewh
竅	kheewh
媪	quuq
媼	quuq
奧	quuh
澳	quuh
堊	qaak
惡	qaak
嗷	ngaaw
嗸	ngaaw
囂	ngaaw
敖	ngaaw
熬	ngaaw
咢	ngaak
愕	ngaak
諤	ngaak
遌	ngaak
毫	ɡaaw
號	ɡaaw
豪	ɡaaw
昊	ɡuuq
浩	ɡuuq
皓	ɡuuq
号	ɡaawh
號	ɡaawh
貉	ɡaak
鶴	ɡaawk
茠	huu
蒿	haaw
薅	huu
好	huuq
好	huuh
藃	haawh
壑	haak
熇	haawk
櫜	kuu
皋	kuu
膏	kaaw
高	kaaw
鼛	kuu
稿	kaawq
告	kuuh
膏	kaawh
誥	kuuh
各	kaak
胳	kaak
閣	kaak
尻	khuu
丂	khuuq
栲	khuuq
考	khuuq
犒	khaawh
恪	khaak
渥	qrook
葯	qraawk
鷽	qruuk
岳	ngrook
嶽	ngrook
樂	ngraawh
樂	ngraawk
殽	ɡraaw
爻	ɡraaw
肴	ɡraaw
傚	ɡraawh
效	ɡraawh
斆	ɡruuh
學	ɡruuk
翯	ɡraawk
鶴	ɡraawk
鷽	ɡruuk
孝	hruuh
交	kraaw
敎	kraaw
教	kraaw
膠	kriiw
茭	kraaw
郊	kraaw
攪	kruuq
絞	kraawq
膠	kriiwq
鉸	kraawq
敎	kraawh
教	kraawh
窖	kruuh
覺	kruuh
玨	krook
珏	krook
覺	kruuk
角	krook
較	kraawk
磽	khreew
骹	khraaw
巧	khruuq
殼	khrook
確	khraawk
鴞	ɡaw
夭	qaw
約	qewk
葯	qewk
虐	ngawk
囂	nghaw
謔	nghawk
喬	ɡaw
橋	ɡaw
蕎	ɡaw
臄	gak
蹻	ɡawk
𧮫	ɡak
驕	kaw
鷮	kaw
矯	kawq
蹻	kawq
脚	kak
腳	kak
却	khak
卻	khak
䍃	law
傜	law
媱	law
徭	law
搖	law
摇	law
瑤	law
瑶	law
窰	law
謠	law
謡	law
遙	law
曜	lewh
燿	lewh
耀	lewh
籥	lewk
藥	lawk
躍	lewk
龠	lewk
腰	qew
葽	qew
要	qew
約	qewh
要	qewh
翹	ɡew
荍	ɡew
漏	rooh
鏤	rooh
陋	rooh
㯟	rook
彔	rook
录	rook
琭	rook
盝	rook
睩	rook
祿	rook
禄	rook
鹿	rook
傁	s⁽ˁ⁾uq
叜	s⁽ˁ⁾uq
叟	s⁽ˁ⁾uq
嗽	sooh
樕	sook
速	sook
族	zook
走	tsooq
奏	tsooh
鏃	cook
取	chooq
劉	ru
摎	riw
旒	ru
流	ru
留	ru
鏐	riw
懰	ruq
柳	ruq
罶	ruq
翏	riwh
六	ruk
戮	riwk
穋	riwk
陸	ruk
搜	sru
漱	sroh
瘦	sruh
縮	sruk
愁	zriw
騶	zroh
驟	zroh
掫	cro
騶	cro
掫	croq
皺	croh
縐	croh
囚	slu
泅	slu
袖	sliwh
褎	sliwh
修	lhiw
羞	snu
脩	lhiw
宿	suh
秀	lhuh
繡	siwh
夙	suk
宿	suk
肅	siwk
蝤	dzu
酋	dzu
就	dzuh
酒	tsuq
蹙	tsiwk
秋	chiw
緧	tshu
遒	tshu
濼	raawk
裻	suuk
鑿	zaawk
僚	reew
聊	riiw
膋	reew
繚	reewq
蓼	riiwq
料	reewh
捎	seew
瀟	siiw
簫	siiw
翛	lhiiw
蕭	siiw
嘯	siiwh
